133748,18,delayed,not_delayed
1,1,0,20,1026,1032,25,109,1215,14831,12892,52,0,308,1,0,0,20,0
0,0,0,0,837,840,6,193,1050,11433,12266,148,0,1075,3,-0.931748390197754,-0.970589637756348,23.9188499450684,0.189829528331757
0,0,0,0,942,947,28,166,1428,11292,11066,145,0,1154,4,-5.58211994171143,4.76352596282959,18.8856716156006,0.00118038803339005
0,0,0,0,552,551,4,126,758,10693,12266,98,0,657,1,-5.13334226608276,3.29175758361816,22.2618579864502,0.147857695817947
0,0,0,0,1052,1100,10,235,1647,11503,13303,209,0,1810,7,-0.20679235458374,11.2402067184448,24.6915893554688,0.307208806276321
0,0,0,0,1854,1855,7,302,2056,13204,12889,276,0,2039,4,5.73586893081665,-9.70177555084229,29.4374294281006,0.0457842759788036
0,0,0,0,702,700,10,133,1015,11298,11057,109,0,936,7,-5.83777952194214,2.04934501647949,17.4851627349854,0.11892357468605
0,0,0,0,1655,1655,4,440,415,12173,13930,421,0,4243,1,8.30832672119141,-0.471919059753418,24.376392364502,0.279907375574112
0,0,0,0,854,900,7,115,1049,11278,10397,84,0,547,4,3.98974657058716,-1.38990497589111,20.3413715362549,0.0501904375851154
0,0,0,0,2024,2030,8,279,2303,14100,14869,255,0,1927,5,6.22526216506958,-5.74946880340576,20.1807498931885,0.0862133800983429
1,1,1,24,1845,1825,8,69,1954,11697,15304,35,0,197,5,18,2,4,0
1,1,0,36,1759,1800,17,113,1952,12953,14100,39,0,96,7,0,0,36,0
0,0,0,0,623,630,28,131,734,14869,14771,90,0,599,4,-14.7595062255859,-4.49878025054932,44.236442565918,-0.092884324491024
1,0,0,7,2347,2345,17,250,557,14771,13930,209,0,1846,7,24.1522521972656,-13.7807588577271,24.2092781066895,0.0980366319417953
0,0,0,0,1846,1855,8,142,2108,13204,12953,116,0,950,5,6.65750169754028,-9.15853786468506,25.2677001953125,0.0292475000023842
1,0,1,5,1722,1700,30,293,2015,11697,14107,271,0,1972,6,25.212121963501,26.5447769165039,7.66096305847168,0.214208841323853
0,0,0,0,604,611,24,147,731,15249,11298,121,0,767,7,1.47774314880371,16.9872665405273,17.9436931610107,0.0951063632965088
0,0,0,0,1851,1855,23,185,1956,11298,13891,165,0,1188,6,1.14879131317139,-4.21196460723877,17.8951797485352,0.0132895410060883
0,0,0,0,1143,1145,20,96,1219,10140,12889,77,0,486,3,0.21164083480835,-0.00548171997070313,25.8283519744873,-0.0166955813765526
0,0,0,0,2007,2014,21,36,2043,13830,12173,24,0,100,4,8.68219375610352,7.15297746658325,13.7206344604492,-0.0400780215859413
1,1,1,64,1504,1344,27,165,1749,14635,10721,150,0,1249,3,56,8,0,0
0,0,0,0,1420,1431,26,65,1525,14771,14689,49,0,262,2,11.108491897583,-8.51864910125732,16.4387741088867,-0.0889525040984154
1,1,1,45,1900,1810,7,80,2020,14908,14893,68,0,404,4,40,0,5,0
0,0,0,0,1552,1600,23,293,1845,14843,13930,268,0,2072,6,2.9733099937439,-2.53327655792236,23.8021183013916,0.180706828832626
1,1,0,30,526,530,24,194,840,11423,12266,142,0,802,7,0,0,30,0
1,0,0,6,524,525,25,67,731,10599,10397,32,0,134,1,-2.63805985450745,9.22231388092041,18.0651588439941,-0.0150886997580528
0,0,0,0,1254,1257,9,78,1412,12266,13422,56,0,427,6,1.99437952041626,-4.4876127243042,19.5679626464844,0.0467267818748951
0,0,0,0,1510,1500,16,101,1651,10397,11697,87,0,581,6,-2.68138408660889,-1.41056728363037,20.2827262878418,0.00891275703907013
1,1,0,17,2317,2305,6,65,22,12266,14683,38,0,191,3,0,12,5,0
0,0,0,0,630,630,11,97,807,13930,13487,63,0,334,1,-8.89280128479004,2.84273529052734,15.9441061019897,0.077096663415432
0,0,0,0,1733,1739,7,148,1901,15370,14869,130,0,926,4,7.39475584030151,-5.3113431930542,18.2487125396729,0.0439408421516418
0,0,0,0,1418,1425,7,321,2139,12982,14747,302,0,2701,4,1.9235053062439,-4.89747524261475,18.2768287658691,0.0925104543566704
0,0,0,0,733,725,26,306,939,11042,12892,264,0,2052,2,-5.47188425064087,11.0282583236694,21.5640048980713,0.121608942747116
0,0,0,0,653,700,6,76,809,11278,12953,44,0,214,3,-0.371133327484131,-1.2811279296875,24.8458709716797,0.0676126033067703
0,0,0,0,1428,1436,25,191,1639,11042,12266,177,0,1091,1,-0.214139461517334,-4.46149158477783,21.2889823913574,0.0679755359888077
0,0,0,0,749,750,19,125,954,11259,13232,107,0,793,2,-3.97032928466797,6.60738563537598,18.0495433807373,0.0614868812263012
1,0,0,10,1514,1505,25,156,1750,13204,10792,133,0,1011,1,2.43213129043579,0.206999778747559,18.7095756530762,-0.0681217387318611
0,0,0,0,708,710,11,88,936,12992,10397,62,0,453,1,0.259743690490723,5.23883152008057,18.1603965759277,0.034872017800808
1,1,1,69,1702,1558,17,101,1843,14771,14679,66,0,447,7,64,0,5,0
0,0,0,0,1942,1955,28,136,2158,12889,14057,118,0,763,4,14.6219234466553,-8.61069583892822,17.1146621704102,0.00776014477014542
0,0,0,0,1137,1140,17,175,1332,13204,13342,147,0,1066,7,0.659477233886719,2.17576122283936,20.8671283721924,0.0406311899423599
0,0,0,0,1012,1020,12,88,1140,11298,13198,71,0,460,2,-4.6193585395813,1.48705005645752,15.8788299560547,0.0240875706076622
1,0,1,12,1603,1540,4,225,1748,13930,12889,202,0,1514,1,21.6863498687744,14.4209728240967,14.169734954834,0.209559381008148
0,0,0,0,1452,1455,30,95,1627,11057,14100,73,0,449,6,0.69484281539917,0.604123115539551,16.5502071380615,0.0197370797395706
0,0,0,0,718,720,19,269,947,13930,12892,241,0,1744,2,-10.0936374664307,4.90844202041626,19.9767074584961,0.169760137796402
0,0,0,0,1240,1245,24,66,1346,13891,13796,56,0,362,7,3.05836820602417,1.12471580505371,18.5237102508545,0.0184678435325623
1,1,1,70,1547,1435,6,68,1755,12889,14107,46,0,255,3,41,29,0,0
0,0,0,0,1948,1940,26,123,2251,15016,12953,107,0,888,2,4.85756826400757,-4.72452640533447,23.5306205749512,-0.035184271633625
0,0,0,0,1304,1308,17,136,1520,14057,12892,118,0,834,7,2.82965898513794,0.0918741226196289,22.9024238586426,0.0474353022873402
1,0,0,9,1355,1351,4,75,1610,13930,15380,41,0,224,1,-1.77157354354858,-7.50921535491943,16.7348880767822,0.0743206590414047
1,0,0,3,2155,2155,1,58,2253,12191,14683,40,0,192,5,11.1290645599365,-11.2630224227905,17.5863723754883,0.0482999905943871
0,0,0,0,1206,1200,15,72,1318,13198,13232,59,0,405,5,2.74999189376831,-0.827442169189453,18.3435516357422,0.0371223613619804
0,0,0,0,2206,2211,26,95,2241,14869,14570,61,0,422,2,5.15678834915161,-10.3281221389771,18.4309577941895,0.0109788328409195
0,0.178345873951912,0.181474462151527,10.6135921478271,1830,1842,25,80.5037841796875,1858,11278,11618,55.3762054443359,0,199,1,13.8517189025879,-6.64562702178955,18.6525440216064,-0.0287759825587273
0,0,0,0,954,955,5,116,1150,11057,12953,78,0,544,2,-6.21743392944336,1.41905498504639,23.1208057403564,0.151168167591095
0,0,0,0,1711,1715,10,111,1802,12264,13232,90,0,577,7,6.77957391738892,-5.76024341583252,19.1423282623291,0.0465278550982475
0,0,0,0,1821,1820,10,76,1837,14107,10800,69,0,369,7,8.65396499633789,-6.55111980438232,17.7293968200684,0.260101526975632
0,0,0,0,1437,1441,11,65,1542,12266,10747,53,0,308,1,3.40050172805786,-6.8930082321167,17.7119674682617,-0.00691189616918564

